ticker,company,industry,sub_industry,cik
MMM,3M Company,Industrials,Industrial Conglomerates,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,1551152
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,815094
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,1467373
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,718877
ADBE,Adobe Inc.,Information Technology,Application Software,796343
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,2488
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,874761
AFL,AFLAC Inc,Financials,Life & Health Insurance,4977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,899866
ALGN,Align Technology,Health Care,Health Care Supplies,1097149
ALLE,Allegion,Industrials,Building Products,1579241
LNT,Alliant Energy Corp,Utilities,Electric Utilities,352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,899051
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1652044
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,764180
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,1018724
AMCR,Amcor plc,Materials,Paper Packaging,1748790
AEE,Ameren Corp,Utilities,Multi-Utilities,1002910
AAL,American Airlines Group,Industrials,Airlines,6201
AEP,American Electric Power,Utilities,Electric Utilities,4904
AXP,American Express Co,Financials,Consumer Finance,4962
